ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
hsa03460,Fanconi anemia pathway,54,0.671630390609612,1.94865062234718,4.19734470791415e-05,0.000411572967192693,0.000262640867688196,2638,"tags=46%, list=16%, signal=39%",55215/55120/2177/84464/2189/5888/2175/6117/672/83990/146956/641/7156/675/2188/29089/80233/2067/84126/2187/5429/79008/6118/545/80198
hsa00650,Butanoate metabolism,26,-0.750976631023443,-2.01570499120953,5.66806162191639e-05,0.000496026108891405,0.000316533732824693,2937,"tags=62%, list=18%, signal=51%",123876/3157/39/7915/348158/1962/3158/622/6296/79944/38/54511/18/3033/3155/1892
hsa03430,Mismatch repair,23,0.800855605757035,2.00004429623322,5.38019265332844e-05,0.000496026108891405,0.000316533732824693,1222,"tags=52%, list=7%, signal=48%",5984/5982/4436/6117/5424/6742/9156/3978/5425/5983/5985/5111
hsa05162,Measles,120,0.551760888799946,1.7803510941127,5.68271272809041e-05,0.000496026108891405,0.000316533732824693,3464,"tags=49%, list=21%, signal=39%",9134/29110/7161/9641/317/27113/595/64135/637/8717/581/7097/6772/51284/3560/10399/7157/841/1027/3561/1459/836/915/894/916/1017/110117499/6773/3455/3559/8503/7128/940/2213/3718/103/898/4939/4940/3716/3310/8517/5610/4938/355/896/917/7187/596/5970/7297/3654/4478/2932/51135/10379/356/3665/868
hsa04061,Viral protein interaction with cytokine and cytokine receptor,87,0.573628156757074,1.77478565717718,5.76120976332793e-05,0.000496026108891405,0.000316533732824693,3283,"tags=44%, list=20%, signal=35%",643/414062/7852/53833/9560/2833/1234/3560/6351/6352/1524/1436/3627/3561/3587/4283/6348/8795/3559/8740/6367/6373/1230/6362/1233/6364/3588/7133/1236/2829/57007/4049/146433/729230/51554/1435/4055/6376
hsa04659,Th17 cell differentiation,98,0.564046980475499,1.77364606937379,5.42253342616781e-05,0.000496026108891405,0.000316533732824693,3132,"tags=49%, list=19%, signal=40%",861/3117/3127/3118/3119/50615/7046/3122/50943/3120/3113/3594/3112/3115/3109/3460/6772/10148/3560/3556/5335/3123/3108/7040/3561/919/915/7535/916/920/3111/9466/3559/3718/3459/5914/3716/8517/30009/3932/51561/917/4773/196/5534/5594/5970/7297
hsa03410,Base excision repair,44,0.680000991524471,1.91447528817652,6.07976006619757e-05,0.0005109893579447,0.000326082369465233,1313,"tags=36%, list=8%, signal=34%",2237/5984/5982/11232/5424/7515/3978/5425/5983/5985/5427/54107/6996/4350/5111/54936
hsa05204,Chemical carcinogenesis - DNA adducts,58,-0.611946913316216,-1.93450107126477,7.06999028499019e-05,0.000580396876884078,0.000370374032065582,5380,"tags=74%, list=32%, signal=50%",54575/54578/3290/1557/2950/54576/54577/5743/79799/1571/54659/54579/54657/1543/374875/54658/1559/2939/2944/4259/7366/2941/1545/2938/54600/10/873/10720/2948/653689/100861540/1551/2946/2953/7367/7364/1562/1576/9/2947/119391/6799/2949
hsa04650,Natural killer cell mediated cytotoxicity,104,0.559980687855584,1.77760384930754,7.38600739996834e-05,0.000592559230042914,0.000378135307079719,3035,"tags=44%, list=18%, signal=36%",80328/2214/5880/3689/7305/637/5777/3460/2207/4277/3106/3683/3135/5335/7409/3002/22914/5551/3107/3105/100528032/919/3937/836/7535/7462/110117499/962/3455/8795/8503/10870/6464/3459/6654/3824/4068/3932/355/4773/2215/4893/3133/51744/5534/5594
hsa00620,Pyruvate metabolism,45,-0.665530357077716,-1.98232490266863,7.71778839306298e-05,0.000602336115808131,0.00038437432170252,2629,"tags=60%, list=16%, signal=51%",3945/5160/10327/224/501/39/98/124/5162/5313/32/219/223/5091/217/197257/134526/5106/38/9380/55902/3029/130/128/5105/126/125
hsa01240,Biosynthesis of cofactors,148,-0.473010161218758,-1.73442148138622,7.84913918616828e-05,0.000602336115808131,0.00038437432170252,2715,"tags=32%, list=16%, signal=27%",221264/4144/29968/10327/224/5805/80347/4338/7367/441024/326625/7364/93100/5372/51109/27430/8836/55163/200895/133686/9104/79717/84274/51004/10229/219/217/211/6470/554235/204/8630/51805/23475/125061/51117/50808/11019/210/2643/53354/349565/1352/2235/3242/122481/64802
hsa05322,Systemic lupus erythematosus,123,0.538460008609951,1.7386717598356,8.73009676371418e-05,0.000655685990976831,0.000418418971429974,3383,"tags=34%, list=20%, signal=27%",3117/3127/9555/3118/3119/2212/2214/3122/3120/3113/3112/3115/942/3109/2209/6628/3123/3108/723790/718/8337/3111/713/3014/712/940/6632/941/714/958/8362/92815/6737/3015/85236/2215/440689/716/8341/8353/8365/8363
hsa00760,Nicotinate and nicotinamide metabolism,37,-0.678425166151249,-1.9702464419943,9.70422215747954e-05,0.000713664671164641,0.0004554174433554,2174,"tags=43%, list=13%, signal=38%",683/84618/25961/93100/133686/23408/83594/554235/23409/23475/22978/316/349565/4860/5167/64802
hsa00630,Glyoxylate and dicarboxylate metabolism,31,-0.715096015070244,-2.01220622016478,0.000111947147074744,0.000806476386069075,0.00051464424219109,2402,"tags=68%, list=14%, signal=58%",39/50/64902/2653/5096/5095/84693/189/132158/51179/4594/48/6470/2731/125061/38/847/9380/55902/275/112817
