Symbol,n_cancers_druggable,cancer_list,mean_n_drugs,mean_lfc,gene_family,any_hub
ANO1,2,esophagus|kidney,1,-0.432071201831625,Other,FALSE
BICD1,2,esophagus|kidney,1,-0.0764302738514601,Other,FALSE
BMP5,2,colorectal|kidney,1,0.15065309604425,Other,FALSE
CASP5,2,colorectal|esophagus,1,-0.017067492644655,Protease,FALSE
CD1D,2,colorectal|kidney,1,1.18797164398595,Other,FALSE
CD36,2,colorectal|kidney,1,1.62020776500844,Other,TRUE
CD96,2,colorectal|kidney,1,1.50335764293654,Other,FALSE
CDC25A,2,colorectal|esophagus,1,-1.0195566474973,Other,TRUE
CEACAM6,2,colorectal|esophagus,1,0.458324945028985,Other,FALSE
CEACAM7,2,colorectal|esophagus,1,3.30425873096481,Other,FALSE
CHL1,2,colorectal|kidney,1,-0.59281573830198,Other,FALSE
CHST1,2,esophagus|pancreatic,1,-0.61445852469716,Other,FALSE
CNTN1,2,colorectal|kidney,1,-0.483420453269955,Other,FALSE
COCH,2,esophagus|kidney,1,-1.46631570589644,Other,FALSE
COL22A1,2,colorectal|esophagus,1,-1.4543433762606,Other,FALSE
CPA6,2,colorectal|kidney,1,1.61842765603953,Other,FALSE
CRHBP,2,colorectal|kidney,1,-1.20630064545131,Other,FALSE
CRIPTO,2,colorectal|kidney,1,-2.44699652806089,Other,FALSE
CST1,2,colorectal|esophagus,1,-6.66220468063592,Other,FALSE
CTNNA3,2,colorectal|esophagus,1,1.75971162767218,Other,FALSE
CYP26B1,2,colorectal|kidney,1,-0.290954105255725,Other,FALSE
DGAT2,2,colorectal|esophagus,1,-0.13161262648305,Other,FALSE
DHCR7,2,colorectal|esophagus,1,-1.12354601550337,Other,FALSE
DLG2,2,esophagus|kidney,1,0.246876738635785,Other,FALSE
EDAR,2,colorectal|kidney,1,-1.80405444218198,Other,FALSE
EDN3,2,colorectal|esophagus,1,3.13345656010014,Other,FALSE
EEF1A2,2,colorectal|esophagus,1,1.10311168622992,Other,FALSE
EFNA5,2,colorectal|pancreatic,1,1.59355688926839,Other,FALSE
EHF,2,esophagus|kidney,1,-0.688355002608675,Other,FALSE
FOSB,2,colorectal|kidney,1,-0.169817715113215,Other,FALSE
FOXC2,2,colorectal|pancreatic,1,0.31357694086631,Other,FALSE
FUT3,2,esophagus|kidney,1,-0.105134308805125,Other,FALSE
GALNT17,2,colorectal|kidney,1,-0.3917155768825,Other,FALSE
GBP1,2,esophagus|kidney,1,0.00894819312707995,Other,FALSE
GJB5,2,colorectal|kidney,1,-0.00726893526591499,Other,FALSE
GNG7,2,colorectal|esophagus,1,1.40900236137471,Other,FALSE
GPM6A,2,colorectal|kidney,1,0.700874943938795,Other,FALSE
GPR15,2,colorectal|esophagus,1,1.65172677059371,Other,FALSE
HOXB6,2,esophagus|kidney,1,-1.50116315506401,Other,FALSE
IL31RA,2,esophagus|pancreatic,1,-0.36049621910935,Growth Factor/Cytokine,FALSE
KCNJ2,2,kidney|pancreatic,1,1.43476058329787,Other,FALSE
KIRREL2,2,kidney|pancreatic,1,-2.62614896558843,Other,FALSE
