Symbol,n_cancers,n_up,n_down,mean_lfc
CYP27B1,3,0,3,-1.8111428464517
CYP2C18,3,2,1,0.488116968119027
CYP3A4,3,2,1,0.562497703526704
CYP4F12,3,2,1,0.656944088308165
DDIAS,3,1,2,-0.393051970200749
DEFB1,3,2,1,0.112608493082721
DES,3,2,1,0.41004616319492
DHRS9,3,3,0,1.90928647655063
DLGAP5,3,1,2,0.156049310264908
DNASE1L3,3,2,1,0.229071237736705
DPEP1,3,0,3,-3.5587081174767
DPP6,3,2,1,0.189245270151264
DPT,3,2,1,0.834994236901918
DSCC1,3,1,2,-0.598741638146385
DTL,3,1,2,0.0398622207806797
DUOX2,3,1,2,-0.646199496454928
DUSP26,3,2,1,0.406043835011928
E2F1,3,1,2,-0.0615016689333209
E2F7,4,2,2,0.207341829462841
ECRG4,4,3,1,0.925720980026956
ECT2,3,1,2,-0.698550668350226
EDIL3,3,3,0,1.35677499187865
ELFN1,3,1,2,-0.39365978277577
EMX1,3,1,2,-0.964650435078394
ENPP6,3,2,1,-0.256977300526368
ENTPD8,3,1,2,-0.478878010402686
EPB41L4B,3,0,3,-1.85276579366768
EPHX2,3,2,1,0.276308611664334
EPOP,3,1,2,-0.892645747277209
ERCC6L,3,1,2,-0.249249143326126
ERVMER34-1,3,0,3,-1.96417917456728
ESM1,4,2,2,-0.89560862329169
EXO1,3,1,2,-0.274266783529746
EYA2,3,2,1,0.645747293370436
FADS6,3,2,1,-0.0255590625419691
FAM107A,3,2,1,0.692977628764075
FAM3B,3,1,2,-0.83537671239896
FAM89A,3,0,3,-1.29139648268044
FAP,3,1,2,-1.04341558006126
FBXO2,3,0,3,-1.35543305396842
