"Symbol","colorectal","esophagus","kidney","liver","pancreatic","padj_colorectal","padj_esophagus","padj_kidney","padj_liver","padj_pancreatic","n_cancers"
"ANLN",0.913042840308324,1.03922903578577,NA,NA,NA,0.636101456230062,0.997715338829144,NA,NA,NA,NA
"BUB1B",0.914404070142974,1.05469230921996,1.60708166479441,NA,NA,0.649050548330587,0.997715338829144,2.99659353079905e-18,NA,NA,1
"NUF2",0.928066209154276,1.10366307378949,1.6856411959972,NA,NA,0.660054721603403,0.997715338829144,1.10976133291755e-23,NA,NA,1
"MKI67",0.920380864794591,1.01181581951211,1.54129945497999,NA,NA,0.67301730070436,0.997715338829144,9.9817982137238e-15,NA,NA,1
"FCGR3A",1.03984484176677,NA,1.20741236022588,NA,NA,0.678081065014964,NA,6.92698619325361e-05,NA,NA,1
"COL1A2",1.04189812041445,0.97657679958149,NA,NA,1.20342763652199,0.716840430321777,0.997715338829144,NA,NA,0.0300575360311148,1
"CXCR1",0.973727325547627,NA,NA,NA,NA,0.720077200802788,NA,NA,NA,NA,NA
"DTL",0.928875023824872,1.06685923187858,NA,NA,NA,0.736225160324361,0.997715338829144,NA,NA,NA,NA
"UBE2C",0.930415247088576,1.24513014747628,1.55940555727923,NA,NA,0.736225160324361,0.997715338829144,2.78713664458627e-26,NA,NA,1
"NPY",1.04421093695833,NA,NA,NA,NA,0.741730116685558,NA,NA,NA,NA,NA
"CCND1",1.09040167862106,NA,NA,NA,NA,0.741730116685558,NA,NA,NA,NA,NA
"NUSAP1",0.938019502856456,1.08830448945118,1.77262259873188,NA,NA,0.742043551226567,0.997715338829144,1.73632039941453e-13,NA,NA,1
"HJURP",1.08248385980015,1.07557157827964,1.70322381002981,NA,NA,0.759490775644616,0.997715338829144,1.55033896546556e-25,NA,NA,1
"ESPL1",0.930415342478466,1.010804493738,NA,NA,NA,0.76752104894103,0.997715338829144,NA,NA,NA,NA
"KIF18B",0.935132964748572,NA,NA,NA,NA,0.76752104894103,NA,NA,NA,NA,NA
"GCG",0.978103855581319,NA,NA,NA,NA,0.778621037929454,NA,NA,NA,NA,NA
"SST",0.975129787877064,NA,NA,NA,NA,0.790694790426928,NA,NA,NA,NA,NA
"CCL19",0.982859305887539,NA,NA,NA,NA,0.800120426921444,NA,NA,NA,NA,NA
"CDCA3",0.948731014883519,1.17978443768176,NA,NA,NA,0.818758931234246,0.997715338829144,NA,NA,NA,NA
"CCL21",1.01502620014118,NA,NA,NA,NA,0.818758931234246,NA,NA,NA,NA,NA
