Symbol,Module,Degree,Log2FC
CENPW,16,28,-1.12242913572463
PKMYT1,16,28,-1.34721273496178
CKS1B,16,28,-1.10923790841726
CDC25B,16,26,-1.43614714021437
CHTF18,16,26,-1.15816605695957
GINS4,16,26,-1.3429935417088
ARHGAP11A,16,26,-1.02497044219377
RAD54L,16,24,-1.15041976292444
BLM,16,24,-1.32338825572768
DSCC1,16,22,-1.33402474576276
FBXO5,16,22,-1.02434146111985
ORC6,16,20,-1.40023206672728
PIMREG,16,20,-1.09937177691866
KNSTRN,16,18,-1.06309205605424
TM4SF19,16,18,-1.51734715734297
ATAD2,16,16,-1.10632204909714
HASPIN,16,16,-1.119209258599
HELLS,16,16,-1.05203106246595
LMNB1,16,16,-1.05382727212652
MAD2L2,16,14,-1.06036689554796
CENPL,16,14,-1.06661964035278
STIL,16,14,-1.2455516540837
DDX11,16,14,-1.21771587141061
CIT,16,14,-1.01452825274704
CPEB2,16,12,1.02658297079507
CPEB4,16,12,1.22667510365414
CPEB3,16,10,1.23524232219357
XRCC2,16,10,-1.55077360522531
POLQ,16,10,-1.05840110110428
