Gene_Symbol,signcon,randomSummary,randomCi.lb,randomCi.ub,randomP,het_QE,het_QEp,het_QM,het_QMp,error,rank
MAP7D1,3,0.297987369798007,-0.0628713939957645,0.658846133591779,0.105558107135807,5.92616055756765,0.431512324879879,2.61949384173639,0.105558107135807,FALSE,3920
KRT6C,1,3.22850510735389,-0.68162211232367,7.13863232703145,0.105598244151357,21.5100960975781,2.1337423634391e-05,2.61889063100073,0.105598244151356,FALSE,3921
SIRPG,3,1.09603412611347,-0.231540696562988,2.42360894878993,0.105634784870489,14.1097613294091,0.00695285812285077,2.61834168678016,0.105634784870489,FALSE,3922
H4C13,3,0.995723356803053,-0.210673403699995,2.2021201173061,0.105728360092532,15.0563810228256,0.00458569637019373,2.61693687277662,0.105728360092532,FALSE,3923
SNAI2,1,0.881097758390862,-0.186447447506283,1.94864296428801,0.105736962251091,26.5997610439055,0.000172063500466205,2.61680779982153,0.105736962251091,FALSE,3924
LRRC15,2,2.6306828259046,-0.556752317428105,5.81811796923731,0.105745547453122,86.0094814975303,4.62354277121698e-17,2.61667899277244,0.105745547453122,FALSE,3925
POLR3K,5,0.34205163468189,-0.0724752711002844,0.756578540464065,0.105816391508056,4.65116802349821,0.589265923999998,2.61561652996241,0.105816391508056,FALSE,3926
FBN1,1,0.798943011176264,-0.169356438430528,1.76724246078306,0.105842769833446,29.4716228435283,4.95241550891475e-05,2.61522112805549,0.105842769833446,FALSE,3927
HERPUD1,-3,-0.443456946895139,-0.980956892163169,0.0940429983728901,0.105869352485048,11.0450838797955,0.0869930145011232,2.61482277266089,0.105869352485048,FALSE,3928
KYAT1,5,0.352758806792979,-0.0748998684213033,0.780417482007262,0.105943671872703,2.25121488346697,0.89520580781988,2.61370963816282,0.105943671872703,FALSE,3929
MSLN,3,2.01116018356902,-0.427892215885242,4.45021258302327,0.10606835642257,85.3474821058117,2.79684347984487e-16,2.61184407058069,0.10606835642257,FALSE,3930
ADCY3,3,0.294765877443231,-0.0627262293899992,0.652257984276462,0.106080247161117,3.82020624289038,0.700992100370521,2.61166628340669,0.106080247161117,FALSE,3931
SPOPL,5,0.289347981027497,-0.0616571890074207,0.640353151062415,0.106163770784677,1.7395022234504,0.942031066314046,2.61041807588558,0.106163770784677,FALSE,3932
MROH9,-2,-0.695376479256484,-1.53906855260819,0.148315594095219,0.106220847792314,0.210680709635638,0.646234393217133,2.60956571553024,0.106220847792314,FALSE,3933
VPS72,1,0.321787382237821,-0.0686957722665464,0.712270536742188,0.106276655742919,7.82894722603948,0.25090488549587,2.60873279220341,0.106276655742919,FALSE,3934
FAM111B,2,0.829335145283865,-0.177060945177888,1.83573123574562,0.106281147482959,8.12374597653182,0.0435222942892546,2.60866577467474,0.106281147482959,FALSE,3935
