Gene_Symbol,signcon,randomSummary,randomCi.lb,randomCi.ub,randomP,het_QE,het_QEp,het_QM,het_QMp,error,rank
THBS2,3,1.78323937950783,0.256001320375044,3.31047743864061,0.0221083949244228,47.3682604716236,1.5799042850299e-08,5.23723423192942,0.0221083949244228,FALSE,1650
SPRED3,6,1.04549036526437,0.15005833376925,1.94092239675949,0.0221131459889926,11.0606559535274,0.050190529627885,5.2368604360626,0.0221131459889926,FALSE,1651
C15orf48,4,1.58695390607542,0.223096143082491,2.95081166906835,0.0225739301600133,21.8500239987097,0.000559107363234999,5.20099752663227,0.0225739301600134,FALSE,1667
PNLIPRP2,-5,-4.45173251117863,-8.28614575409588,-0.617319268261388,0.0228755142463472,164.032886056341,8.28080631666698e-33,5.17793354978734,0.0228755142463471,FALSE,1674
WNT7A,4,3.22402681728387,0.441681717461364,6.00637191710638,0.0231410883461367,21.8714734794053,6.9373616882819e-05,5.15788295127916,0.0231410883461367,FALSE,1686
CXCL10,3,1.773787639985,0.241901115354252,3.30567416461574,0.0232401807286166,14.9186215501216,0.00487301189837184,5.15046261279832,0.0232401807286165,FALSE,1695
IFI27,3,1.4533434386836,0.197655659134891,2.7090312182323,0.0233000547603996,33.4516707477481,8.58272948577396e-06,5.14599494475983,0.0233000547603996,FALSE,1700
MYH7,-4,-2.83250511437775,-5.28451429250037,-0.380495936255127,0.0235676131504733,26.9046833755811,6.16455245885384e-06,5.12617471969498,0.0235676131504733,FALSE,1710
DLK1,-3,-1.39897045923253,-2.61063198921168,-0.187308929253368,0.0236386568703814,9.71493009035255,0.0455134168200185,5.12095113029369,0.0236386568703814,FALSE,1712
FXYD5,3,1.1334307465456,0.151540993996628,2.11532049909458,0.023669176489672,23.0999259673939,0.000763692253122104,5.11871212993054,0.023669176489672,FALSE,1716
RNFT2,4,1.20308590963274,0.160656009199774,2.24551581006571,0.0236957071635524,16.1864827482144,0.00633134208912932,5.11676820064435,0.0236957071635525,FALSE,1717
FAP,3,1.60086204560058,0.212915925736963,2.9888081654642,0.0237822089409163,35.082748096703,4.15330026240265e-06,5.11044577086517,0.0237822089409163,FALSE,1719
ANOS1,3,1.3069913725882,0.173641179280573,2.44034156589582,0.023805671171468,28.8370996642077,6.53105629952436e-05,5.10873502415696,0.0238056711714679,FALSE,1722
MT1H,-3,-3.13007918185995,-5.84835142071613,-0.411806943003774,0.0240149253300365,41.4419651384334,2.17706340500154e-08,5.09355418585623,0.0240149253300365,FALSE,1731
CDH2,3,1.17406372544327,0.153564269408003,2.19456318147853,0.0241397051307816,21.831574643003,0.00129896450546481,5.08456691279677,0.0241397051307816,FALSE,1736
PBLD,-3,-1.14156667818852,-2.13438779603259,-0.14874556034446,0.0242208420564481,24.1198559112689,0.000496398234422566,5.07874884269172,0.024220842056448,FALSE,1739
CSMD3,-3,-3.53987772706474,-6.62240856083226,-0.457346893297225,0.0244008295319418,20.5891296399872,3.38163947941686e-05,5.06591437894574,0.0244008295319419,FALSE,1747
DGKI,5,1.07653327991839,0.137469765603489,2.0155967942333,0.0246474638772364,18.4197797171769,0.00526446372344833,5.0484861374658,0.0246474638772364,FALSE,1757
TREH,-5,-1.174924159876,-2.19990733144098,-0.149940988311009,0.0246604949357272,28.0960834024692,9.01273609502038e-05,5.04757034742624,0.0246604949357271,FALSE,1758
